method,region,size,threads,mean,ci
omp_com,Seahorse_Valley,8192,32,11.113484083,0.117625115534472
omp_com,Elephant_Valley,16,1,0.000749777,1.8663449084e-5
omp_com,Elephant_Valley,16,2,0.00072509,6.210540868e-5
omp_com,Elephant_Valley,16,4,0.000686891,3.0426523736e-5
omp_com,Elephant_Valley,16,8,0.001146942,0.0004990574030399999
omp_com,Elephant_Valley,16,16,0.000938267,2.5929946812e-5
omp_com,Elephant_Valley,16,32,0.001245863,3.4430669868e-5
omp_com,Elephant_Valley,32,1,0.001495414,1.5534360632e-5
omp_com,Elephant_Valley,32,2,0.001187933,2.3050651931999997e-5
omp_com,Elephant_Valley,32,4,0.00095396,8.918762832e-5
omp_com,Elephant_Valley,32,8,0.000916988,7.944050441599999e-5
omp_com,Elephant_Valley,32,16,0.002699914,0.00014605454774399999
omp_com,Elephant_Valley,32,32,0.001483669,3.63498905e-5
omp_com,Elephant_Valley,64,1,0.004439681,1.6533372044e-5
omp_com,Elephant_Valley,64,2,0.002664605,1.775692772e-5
omp_com,Elephant_Valley,64,4,0.001876298,1.9123229216000004e-5
omp_com,Elephant_Valley,64,8,0.002248036,0.0005093510047360001
omp_com,Elephant_Valley,64,16,0.001860379,0.000134550050796
omp_com,Elephant_Valley,64,32,0.006073256,0.00018331515910400002
omp_com,Elephant_Valley,128,1,0.01619324,2.5391000320000003e-5
omp_com,Elephant_Valley,128,2,0.008908153,2.0951975856e-5
omp_com,Elephant_Valley,128,4,0.005770155,0.00011874978989999998
omp_com,Elephant_Valley,128,8,0.004482389,0.00019855190314399998
omp_com,Elephant_Valley,128,16,0.004228676,0.00015664707374399997
omp_com,Elephant_Valley,128,32,0.00455557,0.00014464845864000002
omp_com,Elephant_Valley,256,1,0.063143478,2.4752243376e-5
omp_com,Elephant_Valley,256,2,0.034681077,0.000822496422132
omp_com,Elephant_Valley,256,4,0.021184859,0.000323874124392
omp_com,Elephant_Valley,256,8,0.01557333,0.0005677413184799999
omp_com,Elephant_Valley,256,16,0.013634264,0.000328694836512
omp_com,Elephant_Valley,256,32,0.012572755,0.00022178339820000002
omp_com,Elephant_Valley,512,1,0.250960733,0.0
omp_com,Elephant_Valley,512,2,0.134067605,0.00089342651972
omp_com,Elephant_Valley,512,4,0.082354212,0.000177555681072
omp_com,Elephant_Valley,512,8,0.059015335,0.00033544316414
omp_com,Elephant_Valley,512,16,0.050639607,0.000982610934228
omp_com,Elephant_Valley,512,32,0.046074945,0.00079470065136
omp_com,Elephant_Valley,1024,1,1.005562781,0.007883612203040001
