method,threads,process,dimension,mean,ci
mpi_omp_1,32,6,1,2.9336,0.053508
mpi_omp_1,64,6,1,2.8471,0.070756
mpi_omp_1,1,8,1,5.3082,0.083692
mpi_omp_1,2,8,1,3.864,0.10976
mpi_omp_1,4,8,1,2.9369,0.047431999999999995
mpi_omp_1,8,8,1,2.7392,0.040963999999999993
mpi_omp_1,16,8,1,2.8,0.049196000000000004
mpi_omp_1,32,8,1,3.0121,0.068404
mpi_omp_1,64,8,1,2.9565,0.137788
mpi_omp_1,1,10,1,4.9294,0.178556
mpi_omp_1,2,10,1,3.7545,0.155036
mpi_omp_1,4,10,1,3.0962,0.14504
mpi_omp_1,8,10,1,3.0132,0.134652
mpi_omp_1,16,10,1,3.0648,0.114072
mpi_omp_1,32,10,1,3.4031,0.14582399999999998
mpi_omp_1,64,10,1,3.2404,0.178948
mpi_omp_1,1,12,1,4.6209,0.16464
mpi_omp_1,2,12,1,3.5748,0.167384
mpi_omp_1,4,12,1,3.1777,0.190512
mpi_omp_1,8,12,1,3.1949,0.127988
mpi_omp_1,16,12,1,3.1497,0.13034
mpi_omp_1,32,12,1,3.4932,0.121128
mpi_omp_1,64,12,1,3.2235,0.141708
mpi_omp_1,1,14,1,4.2217,0.140336
mpi_omp_1,2,14,1,3.3706,0.105448
mpi_omp_1,4,14,1,3.1057,0.12544
mpi_omp_1,8,14,1,3.291,0.21559999999999999
mpi_omp_1,16,14,1,3.4291,0.124264
mpi_omp_1,32,14,1,3.5342,0.086828
mpi_omp_1,64,14,1,3.2836,0.10779999999999999
mpi_omp_1,1,16,1,3.9875,0.114856
mpi_omp_1,2,16,1,3.3635,0.175812
mpi_omp_1,4,16,1,3.2169,0.104468
mpi_omp_1,8,16,1,3.2068,0.13661199999999998
mpi_omp_1,16,16,1,3.5402,0.130536
mpi_omp_1,32,16,1,3.6814,0.126224
mpi_omp_1,64,16,1,3.4585,0.15092
mpi_omp_1,1,18,1,3.9015,0.128772
mpi_omp_1,2,18,1,3.216,0.139748
mpi_omp_1,4,18,1,3.1738,0.15562399999999998
mpi_omp_1,8,18,1,3.2653,0.15288
mpi_omp_1,16,18,1,3.4151,0.12328399999999999
mpi_omp_1,32,18,1,3.756,0.12642
mpi_omp_1,64,18,1,3.4124,0.150724
