size,f,threads,estimate,duration
200000000,0,1,3.142179355275307,6.242785
200000000,0,1,3.141656769505957,6.324238
200000000,0,1,3.1416107483520883,6.261346
200000000,0,1,3.140838384460814,6.23573
200000000,0,1,3.1413606777260545,6.243002
200000000,0,1,3.1414501692881487,6.241638
200000000,0,1,3.141530022130397,6.261106
200000000,0,1,3.141966016585831,6.263127
200000000,0,1,3.141497248464594,6.254522
200000000,0,1,3.141903554496081,6.263288
200000000,0,1,3.1420969985289373,6.251021
200000000,0,1,3.1416672705526496,6.250032
200000000,0,1,3.1420551929787135,6.240384
200000000,0,1,3.142143576781112,6.235893
200000000,0,1,3.1417538937830787,6.24634
200000000,0,1,3.1424224079663285,6.259162
200000000,0,1,3.141096577819468,6.249424
200000000,0,1,3.141065321611994,6.257596
200000000,0,1,3.1424776771517626,6.270956
200000000,0,1,3.1425897882325784,6.241331
200000000,0,1,3.1419322101322797,6.247823
200000000,0,1,3.1424585701239285,6.255603
200000000,0,1,3.1415309018810254,6.230962
200000000,0,1,3.1422334514250605,6.25656
200000000,0,1,3.1410165508204755,6.26816
200000000,0,1,3.141413924164413,6.258721
200000000,0,1,3.14171791824665,6.256093
200000000,0,1,3.1413786455678174,6.233648
200000000,0,1,3.141936603390628,6.246118
200000000,0,1,3.141783906893069,6.255788
200000000,0,2,3.140569400662479,6.673884
200000000,0,2,3.141501549883804,7.194584
200000000,0,2,3.1415819801343643,7.42508
200000000,0,2,3.1414412730545687,6.856146
200000000,0,2,3.1421136768070133,7.444347
200000000,0,2,3.141446943672068,7.608162
200000000,0,2,3.141931892642767,7.264043
200000000,0,2,3.1416928932312618,7.226079
200000000,0,2,3.141236938235189,7.167201
200000000,0,2,3.141268945261433,7.309966
200000000,0,2,3.1423348838367477,7.374772
200000000,0,2,3.141521350557072,7.308848
200000000,0,2,3.1417456572869398,7.252079
200000000,0,2,3.1421110720619803,7.275102
200000000,0,2,3.141970453922523,7.367302
200000000,0,2,3.1416269013231366,7.402439
200000000,0,2,3.1419417530579086,7.313056
200000000,0,2,3.1418820879354956,7.28941
200000000,0,2,3.1420169687589845,7.42768
200000000,0,2,3.141406182566083,7.188942
200000000,0,2,3.1410731184258176,7.324853
200000000,0,2,3.1416967389000763,7.459573
200000000,0,2,3.142075509125973,6.598452
200000000,0,2,3.1413092889477334,7.254439
200000000,0,2,3.141090849307038,7.354753
200000000,0,2,3.1414310422446974,7.222525
200000000,0,2,3.1405545539830473,7.172095
200000000,0,2,3.1421180944364875,7.181824
200000000,0,2,3.141029187436056,7.134326
200000000,0,2,3.141789907940024,7.194577
200000000,0,4,3.1413192638751566,6.641011
200000000,0,4,3.141230945544745,6.640598
200000000,0,4,3.141399363554362,6.621825
200000000,0,4,3.1418375267329974,6.436646
200000000,0,4,3.141175865156588,6.378946
200000000,0,4,3.141047461492686,6.533088
200000000,0,4,3.141404317857135,6.361802
200000000,0,4,3.1409135407859834,6.69499
200000000,0,4,3.1418047464365895,6.670678
200000000,0,4,3.1421210400467463,6.304846
200000000,0,4,3.1405458320743067,6.736999
200000000,0,4,3.141944933229447,6.384
200000000,0,4,3.14207282437534,6.645804
200000000,0,4,3.1409653613663275,6.337295
200000000,0,4,3.1416651039885424,6.592469
200000000,0,4,3.1413662718356843,6.733234
200000000,0,4,3.1418623592859674,6.665254
